   * Generated on 2025-Aug-16 17:06 CEST  .
%TABLE{columnwidths="5%,65%,5%,5%,5%,15%"}%
|*Group*|*Title*|*System*|*arXiv*|*Inspire*|*Journal*|*N*|
|CF|Correlated event-by-event fluctuations of flow harmonics in Pb-Pb collisions at $\sqrt{s_{_{\rm NN}}}=2.76$ !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1604.07663v2][1604.07663]]|[[https://inspirehep.net/literature/1452590][1452590]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.117.182301][Phys. Rev. Lett. 117]]%ENDCOLOR%|40|
|LF|Measurement of transverse energy at midrapidity in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 2.76$ !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1603.04775v2][1603.04775]]|[[https://inspirehep.net/literature/1427723][1427723]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.94.034903][Phys. Rev. C 94]]%ENDCOLOR%|39|
|CF|Anisotropic flow of charged particles in Pb-Pb collisions at $\sqrt{s_{\rm NN}}=5.02$ !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1602.01119v2][1602.01119]]|[[https://inspirehep.net/literature/1419244][1419244]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.116.132302][Phys. Rev. Lett. 116]]%ENDCOLOR%|38|
|CF|Multipion Bose-Einstein correlations in pp, p-Pb, and Pb-Pb collisions at the LHC|pp,%BLUE%pPb%ENDCOLOR%,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1512.08902v2][1512.08902]]|[[https://inspirehep.net/literature/1411653][1411653]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.93.054908][Phys. Rev. C 93]]%ENDCOLOR%|37|
|CF|Charge-dependent flow and the search for the Chiral Magnetic Wave in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1512.05739v2][1512.05739]]|[[https://inspirehep.net/literature/1410144][1410144]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.93.044903][Phys. Rev. C 93]]%ENDCOLOR%|36|
|HF|Measurement of electrons from heavy-flavour hadron decays in p-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ !TeV|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/1509.07491v2][1509.07491]]|[[https://inspirehep.net/literature/1394682][1394682]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2015.12.067][Phys. Lett. B 754]]%ENDCOLOR%|35|
|CF|Event shape engineering for inclusive spectra and elliptic flow in Pb-Pb collisions at $\sqrt{s_\rm{NN}}=2.76$ !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1507.06194v2][1507.06194]]|[[https://inspirehep.net/literature/1384270][1384270]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.93.034916][Phys. Rev. C 93]]%ENDCOLOR%|34|
|CF|Forward-central two-particle correlations in p-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 !TeV|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/1506.08032v3][1506.08032]]|[[https://inspirehep.net/literature/1379977][1379977]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2015.12.010][Phys. Lett. B 753]]%ENDCOLOR%|33|
|CF|One-dimensional pion, kaon, and proton femtoscopy in Pb-Pb collisions at $\sqrt{s_{\rm {NN}}}$ =2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1506.07884v2][1506.07884]]|[[https://inspirehep.net/literature/1379971][1379971]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.92.054908][Phys. Rev. C 92]]%ENDCOLOR%|32|
|JE|Measurement of jet quenching with semi-inclusive hadron-jet distributions in central Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1506.03984v2][1506.03984]]|[[https://inspirehep.net/literature/1376027][1376027]]|%GREEN%[[https://doi.org/10.1007/JHEP09(2015)170][JHEP 09]]%ENDCOLOR%|31|
