   * Generated on 2022-Mar-15 16:47 UTC  .
%TABLE{columnwidths="5%,65%,5%,5%,5%,15%"}%
|*Group*|*Title*|*System*|*arXiv*|*Inspire*|*Journal*|*N*|
|JE|First measurements of \(N\)-subjettiness in central Pb\(-\)Pb collisions at \({\sqrt{\it{s}_{\rm {NN}}}} = 2.76\) !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2105.04936v2][2105.04936]]|[[https://inspirehep.net/literature/1862792][1862792]]|%GREEN%[[https://doi.org/10.1007/JHEP10(2021)003][JHEP 10]]%ENDCOLOR%|324|
|JE|Production of \(\Lambda\) and \({\rm K}^{0}_{\rm S}\) in jets in p-Pb collisions at \(\sqrt{s_{\rm NN}} = 5\) !TeV and pp collisions at \(\sqrt{s} = 7\) !TeV|pp,%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2105.04890v1][2105.04890]]|[[https://inspirehep.net/literature/2048607][2048607]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2022.136984][Phys. Lett. B 827]]%ENDCOLOR%|323|
|LF|Energy dependence of \(\phi\) meson production at forward rapidity in pp collisions at the LHC|pp|[[http://arxiv.org/abs/2105.00713v1][2105.00713]]|[[https://inspirehep.net/literature/1861688][1861688]]|%GREEN%[[https://doi.org/10.1140/epjc/s10052-021-09545-3][Eur. Phys. J. C 81]]%ENDCOLOR%|322|
|CF|Exploring the N\(\Lambda\)-N\(\Sigma\) coupled system with high precision correlation techniques at the LHC|pp|[[http://arxiv.org/abs/2104.04427v1][2104.04427]]|[[https://inspirehep.net/literature/1857549][1857549]]|%RED%Submitted%ENDCOLOR%|321|
|GA|Nuclear modification factor of light neutral-meson spectra up to high transverse momentum in p-Pb collisions at \(\sqrt{s_{NN}}\) = 8.16 !TeV|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2104.03116v2][2104.03116]]|[[https://inspirehep.net/literature/1856529][1856529]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2022.136943][Phys. Lett. B 827]]%ENDCOLOR%|320|
|HF|Measurement of beauty and charm production in pp collisions at \(\sqrt{s}=5.02\) !TeV via non-prompt and prompt D mesons|pp|[[http://arxiv.org/abs/2102.13601v2][2102.13601]]|[[https://inspirehep.net/literature/1848990][1848990]]|%GREEN%[[https://doi.org/10.1007/JHEP05(2021)220][JHEP 05]]%ENDCOLOR%|319|
|CF|Measurements of mixed harmonic cumulants in Pb-Pb collisions at \(\mathbf{\sqrt{{\textit s}_{\rm NN}}}=5.02\) !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2102.12180v2][2102.12180]]|[[https://inspirehep.net/literature/1848215][1848215]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2021.136354][Phys. Lett. B 818]]%ENDCOLOR%|318|
|UD|First measurement of the \({\mathbf{ &#124; \textit t &#124; }}\)-dependence of coherent \(\mathbf{\rm{J/\psi}}\) photonuclear production|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2101.04623v2][2101.04623]]|[[https://inspirehep.net/literature/1840600][1840600]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2021.136280][Phys. Lett. B 817]]%ENDCOLOR%|317|
|UD|Coherent \(\rm{J/\psi}\) and \(\rm{\psi'}\) photoproduction at midrapidity in ultra-peripheral Pb-Pb collisions at \(\sqrt{s_{\mathrm{NN}}}~=~5.02\) !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2101.04577v2][2101.04577]]|[[https://inspirehep.net/literature/1840601][1840601]]|%GREEN%[[https://doi.org/10.1140/epjc/s10052-021-09437-6][Eur. Phys. J. C 81]]%ENDCOLOR%|316|
|CF|Long- and short-range correlations and their event-scale dependence in high-multiplicity pp collisions at \(\boldsymbol{\sqrt{\textit s}}=13\) !TeV|pp|[[http://arxiv.org/abs/2101.03110v2][2101.03110]]|[[https://inspirehep.net/literature/1840098][1840098]]|%GREEN%[[https://doi.org/10.1007/JHEP05(2021)290][JHEP 05]]%ENDCOLOR%|315|
|LF|Production of pions, kaons, (anti-)protons and \(\phi\) mesons in Xe-Xe collisions at \(\sqrt{s_{\rm NN}} = 5.44\) !TeV|%PINK%XeXe%ENDCOLOR%|[[http://arxiv.org/abs/2101.03100v2][2101.03100]]|[[https://inspirehep.net/literature/1840099][1840099]]|%GREEN%[[https://doi.org/10.1140/epjc/s10052-021-09304-4][Eur. Phys. J. C 81]]%ENDCOLOR%|314|
|UD|First measurement of coherent \(\rho^{0}\) photoproduction in ultra-peripheral Xe-Xe collisions at \(\mathbf{\sqrt{s_{\rm {\scriptscriptstyle \mathbf{NN}}}} = 5.44}\) !TeV|%PINK%XeXe%ENDCOLOR%|[[http://arxiv.org/abs/2101.02581v2][2101.02581]]|[[https://inspirehep.net/literature/1839719][1839719]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2021.136481][Phys. Lett. B 820]]%ENDCOLOR%|313|
|CF|Multi-harmonic correlations of different flow amplitudes in Pb-Pb collisions at \(\sqrt{s_{_{\rm NN}}}=2.76\) !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/2101.02579v2][2101.02579]]|[[https://inspirehep.net/literature/1839720][1839720]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.127.092302][Phys. Rev. Lett. 127]]%ENDCOLOR%|312|
|MM|The upgrade of the ALICE TPC with GEMs and continuous readout|n/a|[[http://arxiv.org/abs/2012.09518v2][2012.09518]]|[[https://inspirehep.net/literature/1837171][1837171]]|%GREEN%[[https://doi.org/10.1088/1748-0221/16/03/P03022][JINST 16]]%ENDCOLOR%|311|
|HF|\(\mathrm{\Lambda_{c}^{+}}\) production in pp and in p-Pb collisions at \(\sqrt{s_{\rm {NN}}} = 5.02\) !TeV|pp,%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2011.06079v3][2011.06079]]|[[https://inspirehep.net/literature/1829741][1829741]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.104.054905][Phys. Rev. C 104]]%ENDCOLOR%|310|
|HF|\(\rm \Lambda_{c}^{+}\) production and baryon-to-meson ratios in pp and p-Pb collisions at \(\sqrt{s_\mathrm{NN}} = 5.02\) !TeV at the LHC|pp,%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/2011.06078v3][2011.06078]]|[[https://inspirehep.net/literature/1829739][1829739]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.127.202301][Phys. Rev. Lett. 127]]%ENDCOLOR%|309|
