Group,Title,System,arXivLink,arXivAbs,InspireLink,DatePublishedArxiv,Journal,N
CF,Characterizing the initial conditions of heavy-ion collisions at the LHC with mean transverse momentum and anisotropic flow correlations,"PbPb,XeXe",http://arxiv.org/abs/2111.06106v1,2111.06106,-,2021-11-11,Submitted,353
HF,Investigating charm production and fragmentation via azimuthal correlations of prompt D mesons with charged particles in pp collisions at $\sqrt{s} = 13$ TeV,pp,http://arxiv.org/abs/2110.10043v2,2110.10043,-,2021-10-19,Submitted,352
LF,$\mathrm{K}^{*}(\mathrm{892})^{0}$ and $\mathrm{φ(1020)}$ production in p-Pb collisions at $\sqrt{s_{\rm NN}}$ = 8.16 TeV,pPb,http://arxiv.org/abs/2110.10042v1,2110.10042,-,2021-10-19,Submitted,351
HF,Measurement of prompt $\rm{D_{s}^{+}}$-meson production and azimuthal anisotropy in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV,PbPb,http://arxiv.org/abs/2110.10006v2,2110.10006,-,2021-10-19,Submitted,350
HF,"Prompt D$^{0}$, D$^{+}$, and D$^{*+}$ production in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV",PbPb,http://arxiv.org/abs/2110.09420v3,2110.09420,-,2021-10-18,Submitted,349
CF,"General balance functions of identified charged hadron pairs of $(π,{\rm K},{\rm p})$ in Pb$-$Pb collisions at $\sqrt{s_{\rm NN}} = 2.76$ TeV",PbPb,http://arxiv.org/abs/2110.06566v1,2110.06566,-,2021-10-13,Submitted,348
HF,Measurement of inclusive charged-particle b-jet production in pp and p-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV,"pp,pPb",http://arxiv.org/abs/2110.06104v2,2110.06104,-,2021-10-12,Submitted,347
DQ,Inclusive quarkonium production in pp collisions at $\sqrt{s} = 5.02$ TeV,pp,http://arxiv.org/abs/2109.15240v1,2109.15240,-,2021-09-30,Submitted,346
LF,Production of light (anti)nuclei in pp collisions at $\sqrt{s} = 13$ TeV,pp,http://arxiv.org/abs/2109.13026v2,2109.13026,-,2021-09-27,Submitted,345
DQ,Prompt and non-prompt J/$ψ$ production cross sections at midrapidity in proton-proton collisions at $\sqrt{s}$ = 5.02 and 13 TeV,pp,http://arxiv.org/abs/2108.02523v1,2108.02523,-,2021-08-05,Submitted,344
DQ,Inclusive J/$ψ$ production at midrapidity in pp collisions at $\sqrt{s}~=~13$ TeV,pp,http://arxiv.org/abs/2108.01906v2,2108.01906,-,2021-08-04,Submitted,343
JE,Measurement of the groomed jet radius and momentum splitting fraction in pp and Pb$-$Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV,"pp,PbPb",http://arxiv.org/abs/2107.12984v2,2107.12984,-,2021-07-27,Submitted,342
